county_id,location_id
506,5112
123,5112
315,5113
315,5113
315,5113
214,5114
49,5115
217,5116
169,5117
169,5117
2295,5118
2712,5118
491,5119
240,5120
220,5121
641,5122
324,5123
2793,5124
45,5126
102,5127
1123,5128
1214,5129
611,5130
611,5130
1424,5131
1460,5131
354,5132
615,5133
638,5133
638,5133
692,5133
220,5134
2313,5135
2313,5135
2313,5135
145,5136
220,5137
341,5138
221,5139
203,5140
214,5141
119,5142
24,5143
2741,5143
102,5144
694,5145
41,5146
41,5146
32,5147
233,5148
240,5148
149,5149
2409,5149
374,5150
2060,5151
32,5151
51,5151
51,5151
47,5152
166,5152
166,5152
203,5153
1222,5154
1222,5154
937,5155
214,5156
217,5156
221,5156
457,5157
692,5158
324,5159
1788,5160
1788,5160
1788,5160
203,5162
211,5164
203,5165
615,5166
692,5166
203,5167
203,5167
904,5168
185,5169
324,5170
324,5170
37,5171
203,5172
1860,5173
1860,5173
1860,5173
221,5174
278,5175
307,5176
