id,"code",location_id,county_id
38487,"35808",NULL,45
38488,"35809",NULL,45
38489,"35810",NULL,45
38490,"35811",NULL,45
38491,"35812",NULL,45
38492,"35813",NULL,45
38493,"35814",NULL,45
38494,"35815",NULL,45
38495,"35816",NULL,45
38496,"35824",NULL,45
38497,"35893",NULL,45
38498,"35894",NULL,45
38499,"35895",NULL,45
38500,"35896",NULL,45
38501,"35897",NULL,45
38502,"35898",NULL,45
38503,"35899",NULL,45
38504,"35901",NULL,28
38505,"35902",NULL,28
38506,"35903",NULL,28
38507,"35904",NULL,28
38508,"35905",NULL,28
38509,"35906",NULL,28
38510,"35907",NULL,28
38511,"35950",NULL,48
38512,"35951",NULL,48
38513,"35952",NULL,28
38514,"35953",NULL,58
38515,"35954",NULL,28
38516,"35956",NULL,28
38517,"35957",NULL,48
38518,"35958",NULL,36
38519,"35959",NULL,10
38520,"35960",NULL,10
38521,"35961",NULL,25
38522,"35962",NULL,25
38523,"35963",NULL,25
38524,"35964",NULL,48
38525,"35966",NULL,36
38526,"35967",NULL,25
38527,"35968",NULL,25
38528,"35971",NULL,25
38529,"35972",NULL,28
38530,"35973",NULL,10
38531,"35974",NULL,25
38532,"35975",NULL,25
38533,"35976",NULL,48
38534,"35978",NULL,25
38535,"35979",NULL,36
38536,"35980",NULL,48
38537,"35981",NULL,25
38538,"35983",NULL,10
38539,"35984",NULL,25
38540,"35986",NULL,25
38541,"35987",NULL,58
38542,"35988",NULL,25
38543,"35989",NULL,25
38544,"35990",NULL,28
38545,"36003",NULL,1
38546,"36005",NULL,55
38547,"36006",NULL,1
38548,"36008",NULL,1
38549,"36009",NULL,21
38550,"36010",NULL,55
38551,"36013",NULL,51
38552,"36015",NULL,7
38553,"36016",NULL,3
38554,"36017",NULL,3
38555,"36020",NULL,26
38556,"36022",NULL,26
38557,"36023",NULL,62
38558,"36024",NULL,26
38559,"36025",NULL,26
38560,"36026",NULL,19
38561,"36027",NULL,3
38562,"36028",NULL,21
38563,"36029",NULL,6
38564,"36030",NULL,7
38565,"36031",NULL,44
38566,"36032",NULL,43
38567,"36033",NULL,7
38568,"36034",NULL,16
38569,"36035",NULL,55
38570,"36036",NULL,51
38571,"36037",NULL,7
38572,"36038",NULL,20
38573,"36039",NULL,44
38574,"36040",NULL,43
38575,"36041",NULL,21
38576,"36042",NULL,21
38577,"36043",NULL,43
38578,"36045",NULL,26
38579,"36046",NULL,21
38580,"36047",NULL,43
38581,"36048",NULL,3
38582,"36049",NULL,21
38583,"36051",NULL,1
38584,"36052",NULL,51
38585,"36053",NULL,6
38586,"36054",NULL,26
38587,"36057",NULL,51
38588,"36061",NULL,6
38589,"36062",NULL,21
38590,"36064",NULL,51
38591,"36065",NULL,51
38592,"36066",NULL,1
38593,"36067",NULL,1
38594,"36068",NULL,1
38595,"36069",NULL,51
38596,"36071",NULL,21
38597,"36072",NULL,3
38598,"36075",NULL,44
38599,"36078",NULL,26
38600,"36079",NULL,55
38601,"36080",NULL,26
38602,"36081",NULL,55
38603,"36082",NULL,55
38604,"36083",NULL,44
38605,"36087",NULL,44
38606,"36088",NULL,44
38607,"36089",NULL,6
38608,"36091",NULL,11
38609,"36092",NULL,26
38610,"36093",NULL,26
38611,"36101",NULL,51
38612,"36102",NULL,51
38613,"36103",NULL,51
38614,"36104",NULL,51
38615,"36105",NULL,51
38616,"36106",NULL,51
38617,"36107",NULL,51
38618,"36108",NULL,51
38619,"36109",NULL,51
38620,"36110",NULL,51
38621,"36111",NULL,51
38622,"36112",NULL,51
38623,"36113",NULL,51
38624,"36114",NULL,51
38625,"36115",NULL,51
38626,"36116",NULL,51
38627,"36117",NULL,51
38628,"36118",NULL,51
38629,"36119",NULL,51
38630,"36120",NULL,51
38631,"36121",NULL,51
38632,"36123",NULL,51
38633,"36124",NULL,51
38634,"36125",NULL,51
38635,"36130",NULL,51
38636,"36131",NULL,51
38637,"36132",NULL,51
38638,"36133",NULL,51
38639,"36134",NULL,51
38640,"36135",NULL,51
38641,"36140",NULL,51
38642,"36141",NULL,51
38643,"36142",NULL,51
38644,"36177",NULL,51
38645,"36191",NULL,51
38646,"36201",NULL,8
38647,"36202",NULL,8
38648,"36203",NULL,8
38649,"36204",NULL,8
38650,"36205",NULL,8
38651,"36206",NULL,8
38652,"36207",NULL,8
38653,"36210",NULL,8
38654,"36250",NULL,8
38655,"36251",NULL,14
38656,"36253",NULL,8
38657,"36254",NULL,8
38658,"36255",NULL,14
38659,"36256",NULL,62
38660,"36257",NULL,8
38661,"36258",NULL,14
38662,"36260",NULL,8
38663,"36261",NULL,15
38664,"36262",NULL,15
38665,"36263",NULL,56
38666,"36264",NULL,15
38667,"36265",NULL,8
38668,"36266",NULL,14
38669,"36267",NULL,14
38670,"36268",NULL,61
38671,"36269",NULL,15
38672,"36271",NULL,8
38673,"36272",NULL,8
38674,"36273",NULL,15
38675,"36274",NULL,56
38676,"36275",NULL,10
